,technology,node,time_storage_level,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
46,Aluminium_storage,CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
47,Aluminium_storage,CHN,5,0.0,0.0,0.0,0.0,0.0,0.0
48,Aluminium_storage,CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
49,Aluminium_storage,CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
50,Aluminium_storage,CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
51,Aluminium_storage,CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
52,Aluminium_storage,CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
53,Aluminium_storage,CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
54,Aluminium_storage,CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
55,Aluminium_storage,CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
56,Aluminium_storage,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
57,Aluminium_storage,CZE,1,0.0,0.0,0.0,0.0,0.0,0.0
58,Aluminium_storage,CZE,2,0.0,0.0,0.0,0.0,0.0,0.0
59,Aluminium_storage,CZE,3,0.0,0.0,0.0,0.0,0.0,0.0
60,Aluminium_storage,CZE,4,0.0,0.0,0.0,0.0,0.0,0.0
61,Aluminium_storage,CZE,5,0.0,0.0,0.0,0.0,0.0,0.0
62,Aluminium_storage,CZE,6,0.0,0.0,0.0,0.0,0.0,0.0
63,Aluminium_storage,CZE,7,0.0,0.0,0.0,0.0,0.0,0.0
64,Aluminium_storage,CZE,8,0.0,0.0,0.0,0.0,0.0,0.0
65,Aluminium_storage,CZE,9,0.0,0.0,0.0,0.0,0.0,0.0
66,Aluminium_storage,CZE,10,0.0,0.0,0.0,0.0,0.0,0.0
67,Aluminium_storage,CZE,11,0.0,0.0,0.0,0.0,0.0,0.0
68,Aluminium_storage,CZE,12,0.0,0.0,0.0,0.0,0.0,0.0
69,Aluminium_storage,CZE,13,0.0,0.0,0.0,0.0,0.0,0.0
70,Aluminium_storage,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
71,Aluminium_storage,DEU,1,0.0,0.0,0.0,0.0,0.0,0.0
72,Aluminium_storage,DEU,2,0.0,0.0,0.0,0.0,0.0,0.0
73,Aluminium_storage,DEU,3,0.0,0.0,0.0,0.0,0.0,0.0
74,Aluminium_storage,DEU,4,0.0,0.0,0.0,0.0,0.0,0.0
75,Aluminium_storage,DEU,5,0.0,0.0,0.0,0.0,0.0,0.0
76,Aluminium_storage,DEU,6,0.0,0.0,0.0,0.0,0.0,0.0
