location,commodity,time_operation,total_production,total_production_cost,production_cost_per_unit,opex_cost,total_import_flow,total_import_production_cost,total_transport_cost,total_transport_opex,total_import_cost,total_output,domestic_ratio,import_ratio,weighted_cost,weighted_cost_per_unit,transport_to_production_ratio
AUS,HP,12,8.0,354255.8496,44281.9812,240855.8496,8.9069,212415.228810036,320983.54418271995,320983.54418271995,533398.772992756,16.9069,0.4731795893984113,0.5268204106015887,448631.9980581406,26535.43807901748,0.9060783175356208
AUS,HP,13,9.0,384362.8308,42706.9812,270962.8308,8.583176000000002,204694.93246323746,309317.3117860288,309317.3117860288,514012.2442492662,17.583176,0.511852921224243,0.4881470787757571,447650.81324024964,25459.041827269975,0.8047534438806844
AUS,Iron,0,53.724720000000005,1889.5463205522624,35.170891919999995,1889.5463205522624,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,53.724720000000005,1.0,0.0,1889.5463205522624,35.170891919999995,0.9102749063576648
AUS,Iron,1,56.29960000000001,1980.1071467392323,35.170891919999995,1980.1071467392323,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,56.29960000000001,1.0,0.0,1980.1071467392323,35.170891919999995,0.8686431958147438
AUS,Iron,2,59.05800000000001,2077.12253501136,35.170891919999995,2077.12253501136,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,59.05800000000001,1.0,0.0,2077.12253501136,35.170891919999995,0.828071801738829
AUS,Iron,3,61.9318,2178.196644211056,35.17089192,2178.196644211056,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,61.9318,1.0,0.0,2178.196644211056,35.17089192,0.7896470709246584
AUS,Iron,4,64.80560000000001,2279.270753410752,35.170891919999995,2279.270753410752,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,64.80560000000001,1.0,0.0,2279.270753410752,35.170891919999995,0.7546302243493117
AUS,Iron,5,67.67940000000002,2380.344862610448,35.170891919999995,2380.344862610448,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,67.67940000000002,1.0,0.0,2380.344862610448,35.170891919999995,0.722587145676406
AUS,Iron,6,70.78400000000002,2489.5364136652806,35.170891919999995,2489.5364136652806,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,70.78400000000002,1.0,0.0,2489.5364136652806,35.170891919999995,0.690894333000279
AUS,Iron,7,73.8886,2598.727964720112,35.17089192,2598.727964720112,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,73.8886,1.0,0.0,2598.727964720112,35.17089192,0.6618648136125431
AUS,Iron,8,76.9932,2707.919515774944,35.17089192,2707.919515774944,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,76.9932,1.0,0.0,2707.919515774944,35.17089192,0.6351764112556921
AUS,Iron,9,80.21320000000001,2821.169787757344,35.17089191999999,2821.169787757344,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,80.21320000000001,1.0,0.0,2821.169787757344,35.17089191999999,0.6096785126025612
AUS,Iron,10,83.54860000000002,2938.4787806673125,35.170891919999995,2938.4787806673125,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,83.54860000000002,1.0,0.0,2938.4787806673125,35.170891919999995,0.5853391255759133
AUS,Iron,11,156.73700000000002,5512.58008686504,35.170891919999995,5512.58008686504,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,156.73700000000002,1.0,0.0,5512.58008686504,35.170891919999995,0.31201480484564437
AUS,Iron,12,176.70460000000003,6214.858388366832,35.170891919999995,6214.858388366832,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,176.70460000000003,1.0,0.0,6214.858388366832,35.170891919999995,0.27675716685978613
AUS,Iron,13,196.78760000000003,6921.195410796192,35.170891919999995,6921.195410796192,0.0,0.0,1720.0065999991807,1720.0065999991807,1720.0065999991807,196.78760000000003,1.0,0.0,6921.195410796192,35.170891919999995,0.24851293713166764
AUS,Nickel,0,0.0,0.0,,0.0,3.24,12817.449266400004,11.0230004088,11.0230004088,12828.472266808805,3.24,0.0,1.0,12828.472266808805,3959.4050206200013,
AUS,Nickel,0,0.0,0.0,,0.0,3.24,12817.449266400004,11.0230004088,11.0230004088,12828.472266808805,3.24,0.0,1.0,12828.472266808805,3959.4050206200013,
AUS,Nickel,1,0.0,0.0,,0.0,3.6,14241.610296000004,12.247778231999998,12.247778231999998,14253.858074232005,3.6,0.0,1.0,14253.858074232005,3959.4050206200013,
AUS,Nickel,1,0.0,0.0,,0.0,3.6,14241.610296000004,12.247778231999998,12.247778231999998,14253.858074232005,3.6,0.0,1.0,14253.858074232005,3959.4050206200013,
AUS,Nickel,2,0.0,0.0,,0.0,3.6,14241.610296000004,12.247778231999998,12.247778231999998,14253.858074232005,3.6,0.0,1.0,14253.858074232005,3959.4050206200013,
AUS,Nickel,2,0.0,0.0,,0.0,3.6,14241.610296000004,12.247778231999998,12.247778231999998,14253.858074232005,3.6,0.0,1.0,14253.858074232005,3959.4050206200013,
AUS,Nickel,3,0.0,0.0,,0.0,3.9503181861386127,15627.470042274368,13.439616969350618,13.439616969350618,15640.909659243718,3.9503181861386127,0.0,1.0,15640.909659243718,3959.405020620001,
AUS,Nickel,3,0.0,0.0,,0.0,3.9503181861386127,15627.470042274368,13.439616969350618,13.439616969350618,15640.909659243718,3.9503181861386127,0.0,1.0,15640.909659243718,3959.405020620001,
AUS,Nickel,4,0.0,0.0,,0.0,3.9503181861386136,15627.470042274372,13.43961696935062,13.43961696935062,15640.909659243722,3.9503181861386136,0.0,1.0,15640.909659243722,3959.405020620001,
AUS,Nickel,4,0.0,0.0,,0.0,3.9503181861386136,15627.470042274372,13.43961696935062,13.43961696935062,15640.909659243722,3.9503181861386136,0.0,1.0,15640.909659243722,3959.405020620001,
AUS,Nickel,5,0.0,0.0,,0.0,3.9503181861386127,15627.470042274368,13.439616969350618,13.439616969350618,15640.909659243718,3.9503181861386127,0.0,1.0,15640.909659243718,3959.405020620001,
AUS,Nickel,5,0.0,0.0,,0.0,3.9503181861386127,15627.470042274368,13.439616969350618,13.439616969350618,15640.909659243718,3.9503181861386127,0.0,1.0,15640.909659243718,3959.405020620001,
AUS,Nickel,6,0.0,0.0,,0.0,6.0,23736.017160000007,20.41296372,20.41296372,23756.430123720005,6.0,0.0,1.0,23756.430123720005,3959.405020620001,
AUS,Nickel,6,0.0,0.0,,0.0,6.0,23736.017160000007,20.41296372,20.41296372,23756.430123720005,6.0,0.0,1.0,23756.430123720005,3959.405020620001,
AUS,Nickel,7,0.0,0.0,,0.0,6.0,23736.017160000007,20.41296372,20.41296372,23756.430123720005,6.0,0.0,1.0,23756.430123720005,3959.405020620001,
AUS,Nickel,7,0.0,0.0,,0.0,6.0,23736.017160000007,20.41296372,20.41296372,23756.430123720005,6.0,0.0,1.0,23756.430123720005,3959.405020620001,
AUS,Nickel,8,0.0,0.0,,0.0,7.2,28483.22059200001,24.495556464,24.495556464,28507.71614846401,7.2,0.0,1.0,28507.71614846401,3959.4050206200013,
AUS,Nickel,8,0.0,0.0,,0.0,7.2,28483.22059200001,24.495556464,24.495556464,28507.71614846401,7.2,0.0,1.0,28507.71614846401,3959.4050206200013,
AUS,Nickel,9,0.0,0.0,,0.0,7.2,28483.22059200001,24.495556464,24.495556464,28507.71614846401,7.2,0.0,1.0,28507.71614846401,3959.4050206200013,
AUS,Nickel,9,0.0,0.0,,0.0,7.2,28483.22059200001,24.495556464,24.495556464,28507.71614846401,7.2,0.0,1.0,28507.71614846401,3959.4050206200013,
AUS,Nickel,10,0.0,0.0,,0.0,8.4,33264.84921128226,30.70615218525398,30.70615218525398,33295.55536346751,8.4,0.0,1.0,33295.55536346751,3963.756590888989,
AUS,Nickel,10,0.0,0.0,,0.0,8.4,33264.84921128226,30.70615218525398,30.70615218525398,33295.55536346751,8.4,0.0,1.0,33295.55536346751,3963.756590888989,
AUS,Nickel,11,0.0,0.0,,0.0,8.399999999999999,33170.48842157103,29.521810083658032,29.521810083658032,33200.01023165469,8.399999999999999,0.0,1.0,33200.01023165469,3952.382170435083,
AUS,Nickel,11,0.0,0.0,,0.0,8.399999999999999,33170.48842157103,29.521810083658032,29.521810083658032,33200.01023165469,8.399999999999999,0.0,1.0,33200.01023165469,3952.382170435083,
AUS,Nickel,12,0.0,0.0,,0.0,9.6,38284.686619282256,36.59926873725398,36.59926873725398,38321.28588801951,9.6,0.0,1.0,38321.28588801951,3991.800613335366,
AUS,Nickel,12,0.0,0.0,,0.0,9.6,38284.686619282256,36.59926873725398,36.59926873725398,38321.28588801951,9.6,0.0,1.0,38321.28588801951,3991.800613335366,
AUS,Nickel,13,0.0,0.0,,0.0,10.799999999999999,43575.45322303032,44.29158789188255,44.29158789188255,43619.7448109222,10.799999999999999,0.0,1.0,43619.7448109222,4038.8652602705747,
AUS,Nickel,13,0.0,0.0,,0.0,10.799999999999999,43575.45322303032,44.29158789188255,44.29158789188255,43619.7448109222,10.799999999999999,0.0,1.0,43619.7448109222,4038.8652602705747,
AUS,Refrigerant,0,0.0,0.0,,0.0,1.2000624999999998,0.0,18136.288316500002,18136.288316500002,18136.288316500002,1.2000624999999998,0.0,1.0,18136.288316500002,15112.78647278788,
AUS,Refrigerant,1,0.0,0.0,,0.0,1.25125,0.0,18909.782629000005,18909.782629000005,18909.782629000005,1.25125,0.0,1.0,18909.782629000005,15112.713389810195,
AUS,Refrigerant,2,0.0,0.0,,0.0,1.3081249999999998,0.0,19769.220754,19769.220754,19769.220754,1.3081249999999998,0.0,1.0,19769.220754,15112.638894601056,
AUS,Refrigerant,3,0.0,0.0,,0.0,1.365,0.0,20628.658879000002,20628.658879000002,20628.658879000002,1.365,0.0,1.0,20628.658879000002,15112.57060732601,
AUS,Refrigerant,4,0.0,0.0,,0.0,1.421875,0.0,21488.097004000003,21488.097004000003,21488.097004000003,1.421875,0.0,1.0,21488.097004000003,15112.507783032968,
AUS,Refrigerant,5,0.0,0.0,,0.0,1.47875,0.0,22347.53512900001,22347.53512900001,22347.53512900001,1.47875,0.0,1.0,22347.53512900001,15112.44979137786,
AUS,Refrigerant,6,0.0,0.0,,0.0,1.535625,0.0,23206.973254000004,23206.973254000004,23206.973254000004,1.535625,0.0,1.0,23206.973254000004,15112.396095400898,
AUS,Refrigerant,7,0.0,0.0,,0.0,1.5924999999999998,0.0,24066.411379,24066.411379,24066.411379,1.5924999999999998,0.0,1.0,24066.411379,15112.346234850866,
AUS,Refrigerant,8,0.0,0.0,,0.0,1.6493749999999998,0.0,24925.849504,24925.849504,24925.849504,1.6493749999999998,0.0,1.0,24925.849504,15112.299812959456,
AUS,Refrigerant,9,0.0,0.0,,0.0,1.7062499999999998,0.0,25785.287629000002,25785.287629000002,25785.287629000002,1.7062499999999998,0.0,1.0,25785.287629000002,15112.25648586081,
AUS,Refrigerant,10,0.0,0.0,,0.0,1.763125,0.0,26644.725754000006,26644.725754000006,26644.725754000006,1.763125,0.0,1.0,26644.725754000006,15112.215954058847,
AUS,Refrigerant,11,0.0,0.0,,0.0,3.98125,0.0,60162.812629,60162.812629,60162.812629,3.98125,0.0,1.0,60162.812629,15111.538493940345,
AUS,Refrigerant,12,0.0,0.0,,0.0,4.55,0.0,68757.193879,68757.193879,68757.193879,4.55,0.0,1.0,68757.193879,15111.471182197802,
AUS,Refrigerant,13,0.0,0.0,,0.0,5.11875,0.0,77351.575129,77351.575129,77351.575129,5.11875,0.0,1.0,77351.575129,15111.418828620268,
AUS,Steel,0,33.57795,16641.23188300197,495.59999592000014,16641.23188300197,0.0,0.0,1894.192000000512,1894.192000000512,1894.192000000512,33.57795,1.0,0.0,16641.23188300197,495.59999592000014,0.1138252272017985
AUS,Steel,1,35.187250000000006,17438.800956436025,495.5999959200001,17438.800956436025,0.0,0.0,1894.192000000512,1894.192000000512,1894.192000000512,35.187250000000006,1.0,0.0,17438.800956436025,495.5999959200001,0.1086193944602272
AUS,Steel,2,36.91125,18293.215349402104,495.5999959200001,18293.215349402104,0.0,0.0,1894.192000000512,1894.192000000512,1894.192000000512,36.91125,1.0,0.0,18293.215349402104,495.5999959200001,0.10354614887657909
AUS,Steel,3,38.707375,19183.374892073916,495.5999959200002,19183.374892073916,0.0,0.0,1894.192000000512,1894.192000000512,1894.192000000512,38.707375,1.0,0.0,19183.374892073916,495.5999959200002,0.09874133256829298
AUS,Steel,4,40.5035,20073.53443474572,495.59999592,20073.53443474572,0.0,0.0,1894.192000000512,1894.192000000512,1894.192000000512,40.5035,1.0,0.0,20073.53443474572,495.59999592,0.09436265477602258
AUS,Steel,5,42.299625000000006,20963.693977417537,495.5999959200001,20963.693977417537,0.0,0.0,1894.192000000512,1894.192000000512,1894.192000000512,42.299625000000006,1.0,0.0,20963.693977417537,495.5999959200001,0.0903558314694428
AUS,Steel,6,44.24000000000001,21925.34381950081,495.5999959200001,21925.34381950081,0.0,0.0,1894.192000000512,1894.192000000512,1894.192000000512,44.24000000000001,1.0,0.0,21925.34381950081,495.5999959200001,0.08639280713654225
AUS,Steel,7,46.180375,22886.993661584074,495.59999592000014,22886.993661584074,0.0,0.0,1894.192000000512,1894.192000000512,1894.192000000512,46.180375,1.0,0.0,22886.993661584074,495.59999592000014,0.08276281402480232
AUS,Steel,8,48.12075,23848.643503667343,495.59999592,23848.643503667343,0.0,0.0,1894.192000000512,1894.192000000512,1894.192000000512,48.12075,1.0,0.0,23848.643503667343,495.59999592,0.07942556563895264
AUS,Steel,9,50.13325,24846.03849545634,495.5999959200001,24846.03849545634,0.0,0.0,1894.192000000512,1894.192000000512,1894.192000000512,50.13325,1.0,0.0,24846.03849545634,495.5999959200001,0.07623718365995882
AUS,Steel,10,52.21787500000001,25879.178636951077,495.5999959200001,25879.178636951077,0.0,0.0,1894.192000000512,1894.192000000512,1894.192000000512,52.21787500000001,1.0,0.0,25879.178636951077,495.5999959200001,0.07319366764198332
AUS,Steel,11,97.96062500000002,48549.28535032066,495.59999591999997,48549.28535032066,0.0,0.0,1894.192000000512,1894.192000000512,1894.192000000512,97.96062500000002,1.0,0.0,48549.28535032066,495.59999591999997,0.03901585752153613
