location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
BRA,5,460094.8840319187,313.5805152325,496203.1333246159,14.444983283749995,956298.0173565346,328.02549851624997,2915.3161009803657,1.0784800060723827,0.0460646710559805
BRA,6,962451.1533952097,499.13058185999967,496251.3748512259,27.819336269999976,1458702.5282464356,526.9499181299997,2768.199553807636,0.5156120111660888,0.05573558760180913
BRA,7,1082635.6486110324,544.682,496259.0908524493,29.9585,1578894.7394634816,574.6405,2747.621755625442,0.45838051932718543,0.055001817574291054
BRA,8,1082635.6486110324,544.682,496259.0908524493,29.9585,1578894.7394634816,574.6405,2747.621755625442,0.45838051932718543,0.055001817574291054
BRA,9,1082635.6486110324,544.682,496259.0908524493,29.9585,1578894.7394634816,574.6405,2747.621755625442,0.45838051932718543,0.055001817574291054
BRA,10,1221333.9868099247,687.0578488459998,695076.8541289719,56.09792426374998,1916410.8409388966,743.1557731097498,2578.7471621456134,0.569112840251408,0.08164949189936992
BRA,11,1082635.6486110324,544.682,496259.0908524493,29.9585,1578894.7394634816,574.6405,2747.621755625442,0.45838051932718543,0.055001817574291054
BRA,12,1139628.9698050127,576.5039999999999,505783.14186821773,34.61725,1645412.1116732303,611.1212499999999,2692.447876216431,0.4438138686091455,0.06004685136616572
BRA,13,1139628.9698050127,576.5039999999999,505783.14186821773,34.61725,1645412.1116732303,611.1212499999999,2692.447876216431,0.4438138686091455,0.06004685136616572
CHN,0,4101699.5900219628,4345.820904412,389780.0232116977,247.51225000000002,4491479.61323366,4593.333154412,977.8257884298014,0.09502890561753953,0.056954084267190716
CHN,1,4409336.876214794,4779.17423831497,389832.6899845597,268.9968125,4799169.566199354,5048.17105081497,950.6749113472655,0.08841072953337431,0.05628520725263246
CHN,2,4762338.02011735,5263.463750388,389889.84286955,292.37945,5152227.8629869,5555.843200388001,927.3530006439142,0.08186941817707065,0.055548867412347436
CHN,3,5317488.517258063,5975.060433593,444269.54202742653,280.4477481625001,5761758.05928549,6255.5081817555,921.0695425337213,0.08354875437634456,0.046936386883346996
CHN,4,5941657.155514302,6745.1874964735,503819.4699274378,250.81004692624992,6445476.625441739,6995.99754339975,921.3091607675892,0.0847944364241642,0.03718355450569428
CHN,5,6687094.221235071,7649.5599135085,620656.3306088698,226.77547131875002,7307750.551843941,7876.33538482725,927.8109926503873,0.09281405496545221,0.029645557899126065
CHN,6,7560787.65175074,8627.329249123,764505.278211864,206.44657910249992,8325292.929962603,8833.7758282255,942.4387817677915,0.1011145020102289,0.023929372942789448
CHN,7,8467860.951123947,9716.610582743275,909561.3652799859,186.76369464450542,9377422.316403933,9903.37427738778,946.8916405406645,0.10741335628087505,0.01922107437095382
