location,time_operation,lcohp,scenario
ROW,4,185.22139637115905,S5
ROW,5,163.97114520706216,S5
ROW,6,158.856202903777,S5
ROW,7,157.51512606280832,S5
ROW,8,149.97737481385872,S5
ROW,9,152.83587952046582,S5
ROW,10,153.40001925475127,S5
ROW,11,210.4469008726601,S5
ROW,12,197.739856936193,S5
ROW,13,187.48957182818418,S5
USA,0,160.89434248966793,S5
USA,1,153.32205841565911,S5
USA,2,154.2448525360525,S5
USA,3,156.93656196006373,S5
USA,4,158.59612164069716,S5
USA,5,158.0165131051961,S5
USA,6,152.42277966519498,S5
USA,7,163.50640489435827,S5
USA,8,151.47820993290875,S5
USA,9,152.75908874201872,S5
USA,10,151.5951852523674,S5
USA,11,188.71383762169717,S5
USA,12,166.50915583590344,S5
USA,13,175.26202464392378,S5
