,technology,location,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
244,Aluminium_transport,ROE-AUT,0.0,0.0,0.0,0.0,0.0,0.0
245,Aluminium_transport,ROE-BRA,0.0,0.0,0.0,0.0,0.0,0.0
246,Aluminium_transport,ROE-CHN,0.0,0.0,0.0,0.0,0.0,0.0
247,Aluminium_transport,ROE-CZE,0.0,0.0,0.0,0.0,0.0,0.0
248,Aluminium_transport,ROE-DEU,0.0,0.0,0.0,0.0,0.0,0.0
249,Aluminium_transport,ROE-ITA,0.0,0.0,0.0,0.0,0.0,0.0
250,Aluminium_transport,ROE-JPN,0.0,0.0,0.0,0.0,0.0,0.0
251,Aluminium_transport,ROE-KOR,0.0,0.0,0.0,0.0,0.0,0.0
252,Aluminium_transport,ROE-ROW,0.0,0.0,0.0,0.0,0.0,0.0
253,Aluminium_transport,ROE-USA,0.0,0.0,0.0,0.0,0.0,0.0
254,Aluminium_transport,ROW-AUS,0.0,0.0,0.0,0.0,0.0,0.0
255,Aluminium_transport,ROW-AUT,0.0,0.0,0.0,0.0,0.0,0.0
256,Aluminium_transport,ROW-BRA,0.0,0.0,0.0,0.0,0.0,0.0
257,Aluminium_transport,ROW-CHN,0.0,0.0,0.0,0.0,0.0,0.0
258,Aluminium_transport,ROW-CZE,0.0,0.0,0.0,0.0,0.0,0.0
259,Aluminium_transport,ROW-DEU,0.0,0.0,0.0,0.0,0.0,0.0
260,Aluminium_transport,ROW-ITA,0.0,0.0,0.0,0.0,0.0,0.0
261,Aluminium_transport,ROW-JPN,0.0,0.0,0.0,0.0,0.0,0.0
262,Aluminium_transport,ROW-KOR,0.0,0.0,0.0,0.0,0.0,0.0
263,Aluminium_transport,ROW-ROE,0.0,0.0,0.0,0.0,0.0,0.0
264,Aluminium_transport,ROW-USA,0.0,0.0,0.0,0.0,0.0,0.0
265,Aluminium_transport,USA-AUS,0.0,0.0,0.0,0.0,0.0,0.0
266,Aluminium_transport,USA-AUT,0.0,0.0,0.0,0.0,0.0,0.0
267,Aluminium_transport,USA-BRA,0.0,0.0,0.0,0.0,0.0,0.0
268,Aluminium_transport,USA-CHN,0.0,0.0,0.0,0.0,0.0,0.0
269,Aluminium_transport,USA-CZE,0.0,0.0,0.0,0.0,0.0,0.0
270,Aluminium_transport,USA-DEU,0.0,0.0,0.0,0.0,0.0,0.0
271,Aluminium_transport,USA-ITA,0.0,0.0,0.0,0.0,0.0,0.0
272,Aluminium_transport,USA-JPN,0.0,0.0,0.0,0.0,0.0,0.0
273,Aluminium_transport,USA-KOR,0.0,0.0,0.0,0.0,0.0,0.0
274,Aluminium_transport,USA-ROE,0.0,0.0,0.0,0.0,0.0,0.0
275,Aluminium_transport,USA-ROW,0.0,0.0,0.0,0.0,0.0,0.0
276,Bauxite_transport,AUS-AUT,0.0,0.0,0.0,0.0,0.0,0.0
277,Bauxite_transport,AUS-BRA,0.0,0.0,0.0,0.0,0.0,0.0
278,Bauxite_transport,AUS-CHN,0.0,0.0,0.0,0.0,0.0,0.0
279,Bauxite_transport,AUS-CZE,0.0,0.0,0.0,0.0,0.0,0.0
280,Bauxite_transport,AUS-DEU,0.0,0.0,0.0,0.0,0.0,0.0
281,Bauxite_transport,AUS-ITA,0.0,0.0,0.0,0.0,0.0,0.0
