,technology,edge,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
162,Aluminium_transport,AUT-AUS,8,0.0,0.0,0.0,0.0,0.0,0.0
163,Aluminium_transport,AUT-AUS,9,0.0,0.0,0.0,0.0,0.0,0.0
164,Aluminium_transport,AUT-AUS,10,0.0,0.0,0.0,0.0,0.0,0.0
165,Aluminium_transport,AUT-AUS,11,0.0,0.0,0.0,0.0,0.0,0.0
166,Aluminium_transport,AUT-AUS,12,0.0,0.0,0.0,0.0,0.0,0.0
167,Aluminium_transport,AUT-AUS,13,0.0,0.0,0.0,0.0,0.0,0.0
168,Aluminium_transport,AUT-BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
169,Aluminium_transport,AUT-BRA,1,0.0,0.0,0.0,0.0,0.0,0.0
170,Aluminium_transport,AUT-BRA,2,0.0,0.0,0.0,0.0,0.0,0.0
171,Aluminium_transport,AUT-BRA,3,0.0,0.0,0.0,0.0,0.0,0.0
172,Aluminium_transport,AUT-BRA,4,0.0,0.0,0.0,0.0,0.0,0.0
173,Aluminium_transport,AUT-BRA,5,0.0,0.0,0.0,0.0,0.0,0.0
174,Aluminium_transport,AUT-BRA,6,0.0,0.0,0.0,0.0,0.0,0.0
175,Aluminium_transport,AUT-BRA,7,0.0,0.0,0.0,0.0,0.0,0.0
176,Aluminium_transport,AUT-BRA,8,0.0,0.0,0.0,0.0,0.0,0.0
177,Aluminium_transport,AUT-BRA,9,0.0,0.0,0.0,0.0,0.0,0.0
178,Aluminium_transport,AUT-BRA,10,0.0,0.0,0.0,0.0,0.0,0.0
179,Aluminium_transport,AUT-BRA,11,0.0,0.0,0.0,0.0,0.0,0.0
180,Aluminium_transport,AUT-BRA,12,0.0,0.0,0.0,0.0,0.0,0.0
181,Aluminium_transport,AUT-BRA,13,0.0,0.0,0.0,0.0,0.0,0.0
182,Aluminium_transport,AUT-CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
183,Aluminium_transport,AUT-CHN,1,0.0,0.0,0.0,0.0,0.0,0.0
