,carrier,node,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
1554,HEX,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
1555,HEX,CHN,1,0.0,0.0,0.0,0.0,0.0,0.0
1556,HEX,CHN,2,0.0,0.0,0.0,0.0,0.0,0.0
1557,HEX,CHN,3,0.0,0.0,0.0,0.0,0.0,0.0
1558,HEX,CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
1559,HEX,CHN,5,0.0,0.0,0.0,0.0,0.0,0.0
1560,HEX,CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
1561,HEX,CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
1562,HEX,CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
1563,HEX,CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
1564,HEX,CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
1565,HEX,CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
1566,HEX,CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
1567,HEX,CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
1568,HEX,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
1569,HEX,CZE,1,0.0,0.0,0.0,0.0,0.0,0.0
1570,HEX,CZE,2,0.0,0.0,0.0,0.0,0.0,0.0
1571,HEX,CZE,3,0.0,0.0,0.0,0.0,0.0,0.0
1572,HEX,CZE,4,0.0,0.0,0.0,0.0,0.0,0.0
1573,HEX,CZE,5,0.0,0.0,0.0,0.0,0.0,0.0
1574,HEX,CZE,6,0.0,0.0,0.0,0.0,0.0,0.0
1575,HEX,CZE,7,0.0,0.0,0.0,0.0,0.0,0.0
1576,HEX,CZE,8,0.0,0.0,0.0,0.0,0.0,0.0
1577,HEX,CZE,9,0.0,0.0,0.0,0.0,0.0,0.0
1578,HEX,CZE,10,0.0,0.0,0.0,0.0,0.0,0.0
1579,HEX,CZE,11,0.0,0.0,0.0,0.0,0.0,0.0
1580,HEX,CZE,12,0.0,0.0,0.0,0.0,0.0,0.0
1581,HEX,CZE,13,0.0,0.0,0.0,0.0,0.0,0.0
1582,HEX,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
1583,HEX,DEU,1,0.0,0.0,0.0,0.0,0.0,0.0
1584,HEX,DEU,2,0.0,0.0,0.0,0.0,0.0,0.0
1585,HEX,DEU,3,0.0,0.0,0.0,0.0,0.0,0.0
1586,HEX,DEU,4,0.0,0.0,0.0,0.0,0.0,0.0
1587,HEX,DEU,5,0.0,0.0,0.0,0.0,0.0,0.0
1588,HEX,DEU,6,0.0,0.0,0.0,0.0,0.0,0.0
1589,HEX,DEU,7,0.0,0.0,0.0,0.0,0.0,0.0
1590,HEX,DEU,8,0.0,0.0,0.0,0.0,0.0,0.0
1591,HEX,DEU,9,0.0,0.0,0.0,0.0,0.0,0.0
1592,HEX,DEU,10,0.0,0.0,0.0,0.0,0.0,0.0
1593,HEX,DEU,11,0.0,0.0,0.0,0.0,0.0,0.0
1594,HEX,DEU,12,0.0,0.0,0.0,0.0,0.0,0.0
1595,HEX,DEU,13,0.0,0.0,0.0,0.0,0.0,0.0
1596,HEX,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
1597,HEX,ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
1598,HEX,ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
1599,HEX,ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
1600,HEX,ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
1601,HEX,ITA,5,0.0,0.0,0.0,0.0,0.0,0.0
1602,HEX,ITA,6,0.0,0.0,0.0,0.0,0.0,0.0
1603,HEX,ITA,7,0.0,0.0,0.0,0.0,0.0,0.0
1604,HEX,ITA,8,0.0,0.0,0.0,0.0,0.0,0.0
1605,HEX,ITA,9,0.0,0.0,0.0,0.0,0.0,0.0
1606,HEX,ITA,10,0.0,0.0,0.0,0.0,0.0,0.0
1607,HEX,ITA,11,0.0,0.0,0.0,0.0,0.0,0.0
1608,HEX,ITA,12,0.0,0.0,0.0,0.0,0.0,0.0
1609,HEX,ITA,13,0.0,0.0,0.0,0.0,0.0,0.0
1610,HEX,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
1611,HEX,JPN,1,0.0,0.0,0.0,0.0,0.0,0.0
1612,HEX,JPN,2,0.0,0.0,0.0,0.0,0.0,0.0
1613,HEX,JPN,3,0.0,0.0,0.0,0.0,0.0,0.0
1614,HEX,JPN,4,0.0,0.0,0.0,0.0,0.0,0.0
1615,HEX,JPN,5,0.0,0.0,0.0,0.0,0.0,0.0
1616,HEX,JPN,6,0.0,0.0,0.0,0.0,0.0,0.0
1617,HEX,JPN,7,0.0,0.0,0.0,0.0,0.0,0.0
1618,HEX,JPN,8,0.0,0.0,0.0,0.0,0.0,0.0
1619,HEX,JPN,9,0.0,0.0,0.0,0.0,0.0,0.0
1620,HEX,JPN,10,0.0,0.0,0.0,0.0,0.0,0.0
1621,HEX,JPN,11,0.0,0.0,0.0,0.0,0.0,0.0
1622,HEX,JPN,12,0.0,0.0,0.0,0.0,0.0,0.0
1623,HEX,JPN,13,0.0,0.0,0.0,0.0,0.0,0.0
1624,HEX,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
1625,HEX,KOR,1,0.0,0.0,0.0,0.0,0.0,0.0
1626,HEX,KOR,2,0.0,0.0,0.0,0.0,0.0,0.0
1627,HEX,KOR,3,0.0,0.0,0.0,0.0,0.0,0.0
1628,HEX,KOR,4,0.0,0.0,0.0,0.0,0.0,0.0
1629,HEX,KOR,5,0.0,0.0,0.0,0.0,0.0,0.0
1630,HEX,KOR,6,0.0,0.0,0.0,0.0,0.0,0.0
1631,HEX,KOR,7,0.0,0.0,0.0,0.0,0.0,0.0
1632,HEX,KOR,8,0.0,0.0,0.0,0.0,0.0,0.0
1633,HEX,KOR,9,0.0,0.0,0.0,0.0,0.0,0.0
1634,HEX,KOR,10,0.0,0.0,0.0,0.0,0.0,0.0
1635,HEX,KOR,11,0.0,0.0,0.0,0.0,0.0,0.0
1636,HEX,KOR,12,0.0,0.0,0.0,0.0,0.0,0.0
1637,HEX,KOR,13,0.0,0.0,0.0,0.0,0.0,0.0
1638,HEX,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
1639,HEX,ROE,1,0.0,0.0,0.0,0.0,0.0,0.0
1640,HEX,ROE,2,0.0,0.0,0.0,0.0,0.0,0.0
1641,HEX,ROE,3,0.0,0.0,0.0,0.0,0.0,0.0
1642,HEX,ROE,4,0.0,0.0,0.0,0.0,0.0,0.0
1643,HEX,ROE,5,0.0,0.0,0.0,0.0,0.0,0.0
1644,HEX,ROE,6,0.0,0.0,0.0,0.0,0.0,0.0
1645,HEX,ROE,7,0.0,0.0,0.0,0.0,0.0,0.0
1646,HEX,ROE,8,0.0,0.0,0.0,0.0,0.0,0.0
1647,HEX,ROE,9,0.0,0.0,0.0,0.0,0.0,0.0
1648,HEX,ROE,10,0.0,0.0,0.0,0.0,0.0,0.0
1649,HEX,ROE,11,0.0,0.0,0.0,0.0,0.0,0.0
1650,HEX,ROE,12,0.0,0.0,0.0,0.0,0.0,0.0
1651,HEX,ROE,13,0.0,0.0,0.0,0.0,0.0,0.0
1652,HEX,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
1653,HEX,ROW,1,0.0,0.0,0.0,0.0,0.0,0.0
1654,HEX,ROW,2,0.0,0.0,0.0,0.0,0.0,0.0
1655,HEX,ROW,3,0.0,0.0,0.0,0.0,0.0,0.0
1656,HEX,ROW,4,0.0,0.0,0.0,0.0,0.0,0.0
1657,HEX,ROW,5,0.0,0.0,0.0,0.0,0.0,0.0
1658,HEX,ROW,6,0.0,0.0,0.0,0.0,0.0,0.0
1659,HEX,ROW,7,0.0,0.0,0.0,0.0,0.0,0.0
1660,HEX,ROW,8,0.0,0.0,0.0,0.0,0.0,0.0
1661,HEX,ROW,9,0.0,0.0,0.0,0.0,0.0,0.0
1662,HEX,ROW,10,0.0,0.0,0.0,0.0,0.0,0.0
1663,HEX,ROW,11,0.0,0.0,0.0,0.0,0.0,0.0
1664,HEX,ROW,12,0.0,0.0,0.0,0.0,0.0,0.0
1665,HEX,ROW,13,0.0,0.0,0.0,0.0,0.0,0.0
1666,HEX,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
1667,HEX,USA,1,0.0,0.0,0.0,0.0,0.0,0.0
1668,HEX,USA,2,0.0,0.0,0.0,0.0,0.0,0.0
1669,HEX,USA,3,0.0,0.0,0.0,0.0,0.0,0.0
1670,HEX,USA,4,0.0,0.0,0.0,0.0,0.0,0.0
1671,HEX,USA,5,0.0,0.0,0.0,0.0,0.0,0.0
1672,HEX,USA,6,0.0,0.0,0.0,0.0,0.0,0.0
1673,HEX,USA,7,0.0,0.0,0.0,0.0,0.0,0.0
1674,HEX,USA,8,0.0,0.0,0.0,0.0,0.0,0.0
1675,HEX,USA,9,0.0,0.0,0.0,0.0,0.0,0.0
1676,HEX,USA,10,0.0,0.0,0.0,0.0,0.0,0.0
1677,HEX,USA,11,0.0,0.0,0.0,0.0,0.0,0.0
1678,HEX,USA,12,0.0,0.0,0.0,0.0,0.0,0.0
1679,HEX,USA,13,0.0,0.0,0.0,0.0,0.0,0.0
1680,Nickel,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
1681,Nickel,AUS,1,0.0,0.0,0.0,0.0,0.0,0.0
1682,Nickel,AUS,2,0.0,0.0,0.0,0.0,0.0,0.0
1683,Nickel,AUS,3,0.0,0.0,0.0,0.0,0.0,0.0
1684,Nickel,AUS,4,0.0,0.0,0.0,0.0,0.0,0.0
1685,Nickel,AUS,5,0.0,0.0,0.0,0.0,0.0,0.0
1686,Nickel,AUS,6,0.0,0.0,0.0,0.0,0.0,0.0
1687,Nickel,AUS,7,0.0,0.0,0.0,0.0,0.0,0.0
1688,Nickel,AUS,8,0.0,0.0,0.0,0.0,0.0,0.0
1689,Nickel,AUS,9,0.0,0.0,0.0,0.0,0.0,0.0
1690,Nickel,AUS,10,0.0,0.0,0.0,0.0,0.0,0.0
1691,Nickel,AUS,11,0.0,0.0,0.0,0.0,0.0,0.0
1692,Nickel,AUS,12,0.0,0.0,0.0,0.0,0.0,0.0
1693,Nickel,AUS,13,0.0,0.0,0.0,0.0,0.0,0.0
1694,Nickel,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
1695,Nickel,AUT,1,0.0,0.0,0.0,0.0,0.0,0.0
1696,Nickel,AUT,2,0.0,0.0,0.0,0.0,0.0,0.0
1697,Nickel,AUT,3,0.0,0.0,0.0,0.0,0.0,0.0
1698,Nickel,AUT,4,0.0,0.0,0.0,0.0,0.0,0.0
1699,Nickel,AUT,5,0.0,0.0,0.0,0.0,0.0,0.0
1700,Nickel,AUT,6,0.0,0.0,0.0,0.0,0.0,0.0
1701,Nickel,AUT,7,0.0,0.0,0.0,0.0,0.0,0.0
1702,Nickel,AUT,8,0.0,0.0,0.0,0.0,0.0,0.0
1703,Nickel,AUT,9,0.0,0.0,0.0,0.0,0.0,0.0
1704,Nickel,AUT,10,0.0,0.0,0.0,0.0,0.0,0.0
1705,Nickel,AUT,11,0.0,0.0,0.0,0.0,0.0,0.0
1706,Nickel,AUT,12,0.0,0.0,0.0,0.0,0.0,0.0
1707,Nickel,AUT,13,0.0,0.0,0.0,0.0,0.0,0.0
1708,Nickel,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
1709,Nickel,BRA,1,0.0,0.0,0.0,0.0,0.0,0.0
1710,Nickel,BRA,2,0.0,0.0,0.0,0.0,0.0,0.0
1711,Nickel,BRA,3,0.0,0.0,0.0,0.0,0.0,0.0
1712,Nickel,BRA,4,0.0,0.0,0.0,0.0,0.0,0.0
1713,Nickel,BRA,5,0.0,0.0,0.0,0.0,0.0,0.0
1714,Nickel,BRA,6,0.0,0.0,0.0,0.0,0.0,0.0
1715,Nickel,BRA,7,0.0,0.0,0.0,0.0,0.0,0.0
1716,Nickel,BRA,8,0.0,0.0,0.0,0.0,0.0,0.0
1717,Nickel,BRA,9,0.0,0.0,0.0,0.0,0.0,0.0
1718,Nickel,BRA,10,0.0,0.0,0.0,0.0,0.0,0.0
1719,Nickel,BRA,11,0.0,0.0,0.0,0.0,0.0,0.0
1720,Nickel,BRA,12,0.0,0.0,0.0,0.0,0.0,0.0
1721,Nickel,BRA,13,0.0,0.0,0.0,0.0,0.0,0.0
