,technology,capacity_type,location,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
128,Compressor_manufacturing,power,ROE,2,1.0,1.0,1.0,1.0,1.0,1.0
129,Compressor_manufacturing,power,ROE,3,1.0,1.0,1.0,1.0,1.0,1.0
130,Compressor_manufacturing,power,ROE,4,1.0,1.0,1.0,1.0,1.0,1.0
131,Compressor_manufacturing,power,ROE,5,1.0,1.0,1.0,1.0,1.0,1.0
132,Compressor_manufacturing,power,ROE,6,1.0,1.0,1.0,1.0,1.0,1.0
133,Compressor_manufacturing,power,ROE,7,1.0,1.0,1.0,1.0,1.0,1.0
134,Compressor_manufacturing,power,ROE,8,1.0,1.0,1.0,1.0,1.0,1.0
135,Compressor_manufacturing,power,ROE,9,1.0,1.0,1.0,1.0,1.0,1.0
136,Compressor_manufacturing,power,ROE,10,1.0,1.0,1.0,1.0,1.0,1.0
137,Compressor_manufacturing,power,ROE,11,1.0,1.0,1.0,1.0,1.0,1.0
138,Compressor_manufacturing,power,ROE,12,1.0,1.0,1.0,1.0,1.0,1.0
139,Compressor_manufacturing,power,ROE,13,1.0,1.0,1.0,1.0,1.0,1.0
140,Compressor_manufacturing,power,ROW,0,1.0,1.0,1.0,1.0,1.0,1.0
141,Compressor_manufacturing,power,ROW,1,1.0,1.0,1.0,1.0,1.0,1.0
142,Compressor_manufacturing,power,ROW,2,1.0,1.0,1.0,1.0,1.0,1.0
143,Compressor_manufacturing,power,ROW,3,1.0,1.0,1.0,1.0,1.0,1.0
144,Compressor_manufacturing,power,ROW,4,1.0,1.0,1.0,1.0,1.0,1.0
145,Compressor_manufacturing,power,ROW,5,1.0,1.0,1.0,1.0,1.0,1.0
146,Compressor_manufacturing,power,ROW,6,1.0,1.0,1.0,1.0,1.0,1.0
147,Compressor_manufacturing,power,ROW,7,1.0,1.0,1.0,1.0,1.0,1.0
148,Compressor_manufacturing,power,ROW,8,1.0,1.0,1.0,1.0,1.0,1.0
149,Compressor_manufacturing,power,ROW,9,1.0,1.0,1.0,1.0,1.0,1.0
150,Compressor_manufacturing,power,ROW,10,1.0,1.0,1.0,1.0,1.0,1.0
151,Compressor_manufacturing,power,ROW,11,1.0,1.0,1.0,1.0,1.0,1.0
152,Compressor_manufacturing,power,ROW,12,1.0,1.0,1.0,1.0,1.0,1.0
153,Compressor_manufacturing,power,ROW,13,1.0,1.0,1.0,1.0,1.0,1.0
154,Compressor_manufacturing,power,USA,0,1.0,1.0,1.0,1.0,1.0,1.0
155,Compressor_manufacturing,power,USA,1,1.0,1.0,1.0,1.0,1.0,1.0
156,Compressor_manufacturing,power,USA,2,1.0,1.0,1.0,1.0,1.0,1.0
157,Compressor_manufacturing,power,USA,3,1.0,1.0,1.0,1.0,1.0,1.0
158,Compressor_manufacturing,power,USA,4,1.0,1.0,1.0,1.0,1.0,1.0
159,Compressor_manufacturing,power,USA,5,1.0,1.0,1.0,1.0,1.0,1.0
160,Compressor_manufacturing,power,USA,6,1.0,1.0,1.0,1.0,1.0,1.0
161,Compressor_manufacturing,power,USA,7,1.0,1.0,1.0,1.0,1.0,1.0
162,Compressor_manufacturing,power,USA,8,1.0,1.0,1.0,1.0,1.0,1.0
163,Compressor_manufacturing,power,USA,9,1.0,1.0,1.0,1.0,1.0,1.0
164,Compressor_manufacturing,power,USA,10,1.0,1.0,1.0,1.0,1.0,1.0
165,Compressor_manufacturing,power,USA,11,1.0,1.0,1.0,1.0,1.0,1.0
166,Compressor_manufacturing,power,USA,12,1.0,1.0,1.0,1.0,1.0,1.0
167,Compressor_manufacturing,power,USA,13,1.0,1.0,1.0,1.0,1.0,1.0
