location,commodity,time_operation,total_production,total_production_cost,production_cost_per_unit,opex_cost,total_import_flow,total_import_production_cost,total_transport_cost,total_transport_opex,total_import_cost,total_output,domestic_ratio,import_ratio,weighted_cost,weighted_cost_per_unit,transport_to_production_ratio
ITA,HP,1,4.0,264351.07232,66087.76808,264351.07232,0.7019869999999999,40221.41850312299,8002.5310369254,8002.5310369254,48223.949540048394,4.701987,0.8507041810196413,0.1492958189803587,232084.19652069858,49358.74908218559,0.030272360791630325
ITA,HP,2,4.0,263151.07232,65787.76808,263151.07232,1.5013240000000003,85730.32500919746,17454.468101905943,17454.468101905943,103184.79311110341,5.501324,0.7270976950275969,0.27290230497240303,219495.9060060331,39898.741831245185,0.06632869837095233
ITA,HP,3,4.0,261951.07232,65487.76808,261951.07232,2.4365500000000004,140417.0689766688,67203.82009569953,67203.82009569953,207620.88907236833,6.43655,0.6214509325648057,0.37854906743519434,241384.4321180258,37502.145111593294,0.2565510402400766
ITA,HP,4,4.0,261151.07232,65287.76808,261151.07232,3.5307630000000003,204325.36146929584,107638.87897904705,107638.87897904705,311964.24044834287,7.530763,0.5311546784834418,0.46884532151655817,284974.5884684078,37841.396478472074,0.412170924755585
ITA,HP,5,4.0,259951.07232,64987.76808,259951.07232,4.810993,269306.1444534133,140103.68057211192,140103.68057211192,409409.82502552524,8.810993,0.4539783427361706,0.5460216572638293,341558.78816485574,38765.07314951399,0.5389617335359331
ITA,HP,6,4.0,258751.07232,64687.76808,258751.07232,6.308861,347259.5109777305,216546.9785936043,216546.9785936043,563806.4895713348,10.308861,0.3880157080399086,0.6119842919600914,445440.19585514837,43209.44824604273,0.8368930673485229
ITA,HP,7,4.0,257551.07232,64387.76808,257551.07232,8.061368,453252.4065437702,301948.9261873172,301948.9261873172,755201.3327310875,12.061368,0.33163733997669254,0.6683626600233075,590161.924129646,48929.93266847061,1.1723846593508027
ITA,HP,8,5.579049999999981,583595.1075067201,104604.74588087974,358106.7675067228,8.53275000000002,469549.8792548877,315469.92057630216,315469.92057630216,785019.7998311899,14.1118,0.3953464476537352,0.6046535523462647,705387.2632509641,49985.6335301637,0.5405629973905659
ITA,HP,9,6.7,588119.7061360028,87779.06061731385,428048.046136,9.810806,519713.9564003984,371363.968457831,371363.968457831,891077.9248582295,16.510806,0.4057948473260482,0.5942051526739518,768139.040745672,46523.41265142792,0.6314428246210696
ITA,HP,10,7.0,488654.37656,69807.76808,445814.37656,12.317642999999999,621583.9468861753,474544.77518272266,474544.77518272266,1096128.722068898,19.317642999999997,0.36236304812134695,0.6376369518786531,876002.4665747734,45347.27484997903,0.971125601132225
ITA,HP,11,7.0,443714.37656,63387.76808,443714.37656,15.601642999999997,795581.7427054929,624636.2988827946,624636.2988827946,1420218.0415882873,22.601642999999996,0.3097119974862005,0.6902880025137995,1117783.1409397807,49455.83561955124,1.4077441072012007
ITA,HP,12,9.687255999999984,994887.5166595852,102700.65296711338,611147.3598595875,16.756666000000013,851366.6379966737,683082.4573798653,683082.4573798653,1534449.095376539,26.443921999999997,0.36633204408937464,0.6336679559106253,1336790.3993330672,50551.89617232525,0.6865926508690848
ITA,HP,13,9.74,620058.7042992024,63661.05793626308,612526.8610992001,21.199388999999996,1046622.9801174409,873073.7428915425,873073.7428915425,1919696.7230089833,30.939389,0.31480906103220074,0.6851909389677991,1510558.8986572071,48823.16514580192,1.4080501359597888
ITA,Iron,0,0.184,6.71725616064,36.50682696,6.71725616064,67.20456000000001,2075.96017694449,3288.077852847344,3288.077852847344,5364.038029791834,67.38856000000001,0.002730433770954595,0.9972695662290454,5349.410220229674,79.38157782611282,489.49716583892575
ITA,Iron,1,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2683.6085625997925,3490.627314732445,3490.627314732445,6174.235877332238,87.02520000000001,0.0021143301020853725,0.9978856698979146,6161.195707056322,70.79783450145844,519.6507668095046
ITA,Iron,2,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2683.6085625997925,3490.627314732445,3490.627314732445,6174.235877332238,87.02520000000001,0.0021143301020853725,0.9978856698979146,6161.195707056322,70.79783450145844,519.6507668095046
ITA,Iron,3,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2683.608562599793,3490.627314732445,3490.627314732445,6174.235877332238,87.02520000000001,0.0021143301020853725,0.9978856698979146,6161.195707056322,70.79783450145844,519.6507668095046
ITA,Iron,4,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2683.608562599793,3490.627314732445,3490.627314732445,6174.235877332238,87.02520000000001,0.0021143301020853725,0.9978856698979146,6161.195707056322,70.79783450145844,519.6507668095046
ITA,Iron,5,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2683.608562599792,3490.627314732445,3490.627314732445,6174.235877332238,87.02520000000001,0.0021143301020853725,0.9978856698979146,6161.195707056322,70.79783450145844,519.6507668095046
ITA,Iron,6,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2683.6085625997925,3490.627314732445,3490.627314732445,6174.235877332238,87.02520000000001,0.0021143301020853725,0.9978856698979146,6161.195707056322,70.79783450145844,519.6507668095046
ITA,Iron,7,0.184,6.71725616064,36.50682696,6.71725616064,86.8412,2683.6085625997916,3490.627314732445,3490.627314732445,6174.235877332237,87.0252,0.002114330102085373,0.9978856698979146,6161.195707056321,70.79783450145844,519.6507668095046
ITA,Iron,8,0.184,6.71725616064,36.50682696,6.71725616064,115.81992559999964,3580.3442479913747,3789.5392098629727,3789.5392098629727,7369.883457854347,116.00392559999963,0.0015861532189390026,0.998413846781061,7358.204348081948,63.430649523484504,564.1498729894971
ITA,Iron,9,0.184,6.71725616064,36.50682696,6.71725616064,136.39159999999998,4216.926918926255,4001.7334335079327,4001.7334335079327,8218.660352434188,136.57559999999998,0.0013472391847445665,0.9986527608152554,8207.596900911996,60.095631290742986,595.7392926231147
ITA,Iron,10,0.184,6.71725616064,36.50682696,6.71725616064,141.8972,4387.295625184752,4058.5230022607648,4058.5230022607648,8445.818627445517,142.0812,0.001295034107256977,0.998704965892743,8434.889703335104,59.36668400418285,604.1935732690714
ITA,Iron,11,0.184,6.71725616064,36.50682696,6.71725616064,183.87583102000025,5686.308458914084,4491.527280170541,4491.527280170541,10177.835739084625,184.05983102000025,0.0009996749371132816,0.9990003250628867,10167.667926854836,55.24110214873554,668.6550539026343
ITA,Iron,12,0.184,6.71725616064,36.50682696,6.71725616064,273.1477221119997,8448.793308992786,5412.35556353011,5412.35556353011,13861.148872522896,273.33172211199974,0.0006731746998784305,0.9993268253001215,13851.822419677565,50.67769782682478,805.7390449457621
ITA,Iron,13,0.184,6.71725616064,36.50682696,6.71725616064,290.96408,9000.113754287933,5596.129045295159,5596.129045295159,14596.242799583091,291.14808000000005,0.0006319808119634516,0.9993680191880364,14587.022499383995,50.10173001787953,833.0974599548362
ITA,Nickel,0,0.0,0.0,,0.0,3.12,8970.673795199998,9.4192061184,9.4192061184,8980.093001318399,3.12,0.0,1.0,8980.093001318399,2878.2349363199996,
ITA,Nickel,0,0.0,0.0,,0.0,3.12,8970.673795199998,9.4192061184,9.4192061184,8980.093001318399,3.12,0.0,1.0,8980.093001318399,2878.2349363199996,
ITA,Nickel,1,0.0,0.0,,0.0,3.12,11005.863746399997,4.95942827280001,4.95942827280001,11010.823174672796,3.12,0.0,1.0,11010.823174672796,3529.1099918823065,
ITA,Nickel,1,0.0,0.0,,0.0,3.12,11005.863746399997,4.95942827280001,4.95942827280001,11010.823174672796,3.12,0.0,1.0,11010.823174672796,3529.1099918823065,
ITA,Nickel,2,0.0,0.0,,0.0,3.1199999999999997,11518.27171199999,4.947856312799999,4.947856312799999,11523.21956831279,3.1199999999999997,0.0,1.0,11523.21956831279,3693.339605228459,
ITA,Nickel,2,0.0,0.0,,0.0,3.1199999999999997,11518.27171199999,4.947856312799999,4.947856312799999,11523.21956831279,3.1199999999999997,0.0,1.0,11523.21956831279,3693.339605228459,
ITA,Nickel,3,0.0,0.0,,0.0,3.12,12512.3379408,5.115571243199999,5.115571243199999,12517.4535120432,3.12,0.0,1.0,12517.4535120432,4012.0043307830765,
