,technology,capacity_type,location,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
6530,Compressor_transport,power,DEU-CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
6531,Compressor_transport,power,DEU-CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
6532,Compressor_transport,power,DEU-CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
6533,Compressor_transport,power,DEU-CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
6534,Compressor_transport,power,DEU-CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
6535,Compressor_transport,power,DEU-CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
6536,Compressor_transport,power,DEU-CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
6537,Compressor_transport,power,DEU-CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
6538,Compressor_transport,power,DEU-CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
6539,Compressor_transport,power,DEU-CZE,1,0.0,0.0,0.0,0.0,0.0,0.0
6540,Compressor_transport,power,DEU-CZE,2,0.0,0.0,0.0,0.0,0.0,0.0
6541,Compressor_transport,power,DEU-CZE,3,0.0,0.0,0.0,0.0,0.0,0.0
6542,Compressor_transport,power,DEU-CZE,4,0.0,0.0,0.0,0.0,0.0,0.0
6543,Compressor_transport,power,DEU-CZE,5,0.0,0.0,0.0,0.0,0.0,0.0
6544,Compressor_transport,power,DEU-CZE,6,0.0,0.0,0.0,0.0,0.0,0.0
6545,Compressor_transport,power,DEU-CZE,7,0.0,0.0,0.0,0.0,0.0,0.0
6546,Compressor_transport,power,DEU-CZE,8,0.0,0.0,0.0,0.0,0.0,0.0
6547,Compressor_transport,power,DEU-CZE,9,0.0,0.0,0.0,0.0,0.0,0.0
6548,Compressor_transport,power,DEU-CZE,10,0.0,0.0,0.0,0.0,0.0,0.0
6549,Compressor_transport,power,DEU-CZE,11,0.0,0.0,0.0,0.0,0.0,0.0
6550,Compressor_transport,power,DEU-CZE,12,0.0,0.0,0.0,0.0,0.0,0.0
6551,Compressor_transport,power,DEU-CZE,13,0.0,0.0,0.0,0.0,0.0,0.0
6552,Compressor_transport,power,DEU-ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
6553,Compressor_transport,power,DEU-ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
6554,Compressor_transport,power,DEU-ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
6555,Compressor_transport,power,DEU-ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
6556,Compressor_transport,power,DEU-ITA,4,0.0,0.0,0.0,0.0,0.0,0.0
6557,Compressor_transport,power,DEU-ITA,5,0.0,0.0,0.0,0.0,0.0,0.0
6558,Compressor_transport,power,DEU-ITA,6,0.0,0.0,0.0,0.0,0.0,0.0
6559,Compressor_transport,power,DEU-ITA,7,0.0,0.0,0.0,0.0,0.0,0.0
6560,Compressor_transport,power,DEU-ITA,8,0.0,0.0,0.0,0.0,0.0,0.0
6561,Compressor_transport,power,DEU-ITA,9,0.0,0.0,0.0,0.0,0.0,0.0
6562,Compressor_transport,power,DEU-ITA,10,0.0,0.0,0.0,0.0,0.0,0.0
6563,Compressor_transport,power,DEU-ITA,11,0.0,0.0,0.0,0.0,0.0,0.0
6564,Compressor_transport,power,DEU-ITA,12,0.0,0.0,0.0,0.0,0.0,0.0
6565,Compressor_transport,power,DEU-ITA,13,0.0,0.0,0.0,0.0,0.0,0.0
6566,Compressor_transport,power,DEU-JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
6567,Compressor_transport,power,DEU-JPN,1,0.0,0.0,0.0,0.0,0.0,0.0
6568,Compressor_transport,power,DEU-JPN,2,0.0,0.0,0.0,0.0,0.0,0.0
6569,Compressor_transport,power,DEU-JPN,3,0.0,0.0,0.0,0.0,0.0,0.0
6570,Compressor_transport,power,DEU-JPN,4,0.0,0.0,0.0,0.0,0.0,0.0
6571,Compressor_transport,power,DEU-JPN,5,0.0,0.0,0.0,0.0,0.0,0.0
6572,Compressor_transport,power,DEU-JPN,6,0.0,0.0,0.0,0.0,0.0,0.0
6573,Compressor_transport,power,DEU-JPN,7,0.0,0.0,0.0,0.0,0.0,0.0
6574,Compressor_transport,power,DEU-JPN,8,0.0,0.0,0.0,0.0,0.0,0.0
6575,Compressor_transport,power,DEU-JPN,9,0.0,0.0,0.0,0.0,0.0,0.0
6576,Compressor_transport,power,DEU-JPN,10,0.0,0.0,0.0,0.0,0.0,0.0
6577,Compressor_transport,power,DEU-JPN,11,0.0,0.0,0.0,0.0,0.0,0.0
6578,Compressor_transport,power,DEU-JPN,12,0.0,0.0,0.0,0.0,0.0,0.0
6579,Compressor_transport,power,DEU-JPN,13,0.0,0.0,0.0,0.0,0.0,0.0
6580,Compressor_transport,power,DEU-KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
6581,Compressor_transport,power,DEU-KOR,1,0.0,0.0,0.0,0.0,0.0,0.0
6582,Compressor_transport,power,DEU-KOR,2,0.0,0.0,0.0,0.0,0.0,0.0
6583,Compressor_transport,power,DEU-KOR,3,0.0,0.0,0.0,0.0,0.0,0.0
6584,Compressor_transport,power,DEU-KOR,4,0.0,0.0,0.0,0.0,0.0,0.0
6585,Compressor_transport,power,DEU-KOR,5,0.0,0.0,0.0,0.0,0.0,0.0
6586,Compressor_transport,power,DEU-KOR,6,0.0,0.0,0.0,0.0,0.0,0.0
6587,Compressor_transport,power,DEU-KOR,7,0.0,0.0,0.0,0.0,0.0,0.0
6588,Compressor_transport,power,DEU-KOR,8,0.0,0.0,0.0,0.0,0.0,0.0
6589,Compressor_transport,power,DEU-KOR,9,0.0,0.0,0.0,0.0,0.0,0.0
6590,Compressor_transport,power,DEU-KOR,10,0.0,0.0,0.0,0.0,0.0,0.0
6591,Compressor_transport,power,DEU-KOR,11,0.0,0.0,0.0,0.0,0.0,0.0
6592,Compressor_transport,power,DEU-KOR,12,0.0,0.0,0.0,0.0,0.0,0.0
6593,Compressor_transport,power,DEU-KOR,13,0.0,0.0,0.0,0.0,0.0,0.0
6594,Compressor_transport,power,DEU-ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
6595,Compressor_transport,power,DEU-ROE,1,0.0,0.0,0.0,0.0,0.0,0.0
6596,Compressor_transport,power,DEU-ROE,2,0.0,0.0,0.0,0.0,0.0,0.0
6597,Compressor_transport,power,DEU-ROE,3,0.0,0.0,0.0,0.0,0.0,0.0
6598,Compressor_transport,power,DEU-ROE,4,0.0,0.0,0.0,0.0,0.0,0.0
6599,Compressor_transport,power,DEU-ROE,5,0.0,0.0,0.0,0.0,0.0,0.0
6600,Compressor_transport,power,DEU-ROE,6,0.0,0.0,0.0,0.0,0.0,0.0
6601,Compressor_transport,power,DEU-ROE,7,0.0,0.0,0.0,0.0,0.0,0.0
6602,Compressor_transport,power,DEU-ROE,8,0.0,0.0,0.0,0.0,0.0,0.0
6603,Compressor_transport,power,DEU-ROE,9,0.0,0.0,0.0,0.0,0.0,0.0
6604,Compressor_transport,power,DEU-ROE,10,0.0,0.0,0.0,0.0,0.0,0.0
6605,Compressor_transport,power,DEU-ROE,11,0.0,0.0,0.0,0.0,0.0,0.0
6606,Compressor_transport,power,DEU-ROE,12,0.0,0.0,0.0,0.0,0.0,0.0
