,technology,location,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
11470,HEX_transport,AUT-DEU,4,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11471,HEX_transport,AUT-DEU,5,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11472,HEX_transport,AUT-DEU,6,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11473,HEX_transport,AUT-DEU,7,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11474,HEX_transport,AUT-DEU,8,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11475,HEX_transport,AUT-DEU,9,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11476,HEX_transport,AUT-DEU,10,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11477,HEX_transport,AUT-DEU,11,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11478,HEX_transport,AUT-DEU,12,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11479,HEX_transport,AUT-DEU,13,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11480,HEX_transport,AUT-ITA,0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11481,HEX_transport,AUT-ITA,1,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11482,HEX_transport,AUT-ITA,2,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11483,HEX_transport,AUT-ITA,3,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11484,HEX_transport,AUT-ITA,4,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11485,HEX_transport,AUT-ITA,5,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11486,HEX_transport,AUT-ITA,6,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11487,HEX_transport,AUT-ITA,7,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11488,HEX_transport,AUT-ITA,8,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11489,HEX_transport,AUT-ITA,9,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11490,HEX_transport,AUT-ITA,10,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11491,HEX_transport,AUT-ITA,11,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11492,HEX_transport,AUT-ITA,12,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
11493,HEX_transport,AUT-ITA,13,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
