location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
BRA,0,193965.16129199998,180.29999999999998,477132.8856789997,0.0,671098.0469709997,180.29999999999998,3722.118951586244,2.459889613685377,0.0
BRA,1,207448.88179199997,180.79999999999998,477132.8856789997,0.0,684581.7674709996,180.79999999999998,3786.40358114491,2.300002205639268,0.0
BRA,2,333733.02770360326,257.2848278400001,491546.6046599991,9.198686400000016,825279.6323636023,266.48351424000015,3096.92565679819,1.4728737159828067,0.03575292984520829
BRA,3,374456.05740510183,281.949,496194.6844192237,12.165,870650.7418243255,294.11400000000003,2960.2492292931497,1.32510791214794,0.04314610089058659
BRA,4,374456.05740510183,281.949,496194.6844192237,12.165,870650.7418243255,294.11400000000003,2960.2492292931497,1.32510791214794,0.04314610089058659
BRA,5,462368.73475191876,315.5805152325,496199.3013414559,13.444983283749995,958568.0360933747,329.02549851624997,2913.3548628178214,1.0731679372907614,0.04260397152164028
BRA,6,964725.00411521,501.1305818599998,496247.5428680659,26.819336269999983,1460972.546983276,527.9499181299998,2767.2559400293976,0.5143927448249311,0.053517660348041715
BRA,7,1082635.6486110324,544.682,496258.8658868893,29.9585,1578894.5144979218,574.6405,2747.621364136224,0.4583803115328455,0.055001817574291054
BRA,8,1082635.6486110324,544.682,496258.8658868893,29.9585,1578894.5144979218,574.6405,2747.621364136224,0.4583803115328455,0.055001817574291054
BRA,9,1082635.6486110324,544.682,496258.8658868893,29.9585,1578894.5144979218,574.6405,2747.621364136224,0.4583803115328455,0.055001817574291054
BRA,10,1223036.1839840016,688.805178848,697513.891985245,56.418724459999986,1920550.0759692467,745.223903308,2577.1450264062264,0.5703133734875412,0.08190810143785231
BRA,11,1331850.4542210696,800.5046,853493.3309740236,76.926125,2185343.785195093,877.4307249999999,2490.616891943342,0.6408327063064957,0.09609704304010246
BRA,12,1361820.4832404677,804.5868,824282.5138963656,76.492,2186102.997136833,881.0788,2481.1662670090723,0.6052798618030593,0.09506991663298478
BRA,13,1361820.4832404677,804.5868,824282.5138963656,76.492,2186102.997136833,881.0788,2481.1662670090723,0.6052798618030593,0.09506991663298478
CHN,0,4257948.823240613,4496.273404412,389593.246867252,169.8060000000001,4647542.070107864,4666.079404412,996.027214134717,0.09149786975850566,0.037765941864962384
CHN,1,4671080.358481465,5031.20722724247,389523.1112484211,140.50031803625015,5060603.469729886,5171.70754527872,978.5169454041805,0.08339036825627472,0.027925766459287005
CHN,2,5141630.944882442,5628.6851827605,389449.7357770319,109.7687338137501,5531080.680659474,5738.45391657425,963.8625248316756,0.07574439705063979,0.019501665175723288
CHN,3,5721611.174723863,6364.190433593,443799.75142015785,85.88274816250006,6165410.926144021,6450.073181755501,955.8668176949267,0.07756552094639262,0.013494685468425503
CHN,4,6347697.285857821,7136.304167773083,504728.23756285897,56.57312936460157,6852425.52342068,7192.877297137684,952.6682077765345,0.07951359600706771,0.00792751094047824
CHN,5,7060133.669798762,8008.9002043855835,621619.0124734042,53.46697327472526,7681752.682272166,8062.367177660309,952.7912228504338,0.08804635174720743,0.006675944500525471
CHN,6,7748597.317971512,8808.311648227584,765672.7594103233,117.2767976383516,8514270.077381834,8925.588445865935,953.9169466552527,0.09881436961945096,0.013314333361711849
CHN,7,8469778.424001666,9718.597254042856,910938.1077708872,187.09177708285702,9380716.531772554,9905.689031125712,947.0029295586015,0.1075515866140571,0.01925090341664569
CHN,8,9126128.895012341,10583.489653788001,986207.8710601326,240.9673,10112336.766072474,10824.456953788002,934.2119248332064,0.10806420579914447,0.022768227482865628
CHN,9,9826289.745119344,11583.192901208002,1065430.4672306345,296.5808,10891720.21234998,11879.773701208002,916.828930103479,0.10842652668163251,0.02560440826027078
CHN,10,10575916.413256735,12385.062692640002,1160558.4151640362,490.81824556,11736474.828420771,12875.880938200002,911.5084928753221,0.109735967060906,0.039629855555892796
CHN,11,11403335.60903639,13187.49938352,1257238.9932884332,1039.4356215800008,12660574.602324823,14226.9350051,889.9017671611155,0.11025186282267746,0.07881976645845007
CHN,12,12266399.369848844,13876.316700000001,1370660.81057645,1576.7576499999998,13637060.180425294,15453.07435,882.482014358864,0.11174108793046256,0.11362940786729087
CHN,13,13157788.316356575,14628.81915,1475845.726787173,2039.4343250000004,14633634.043143747,16668.253475,877.934455765993,0.1121651824229863,0.13941209499469412
CZE,0,204364.84875261117,33.0271584125,672539.1243506349,112.87335148375,876903.9731032461,145.90050989625,6010.287241126253,3.2908747686093536,3.4175919730663264
CZE,1,217308.63095295033,34.3355,673616.7125861419,128.4878375,890925.3435390922,162.8233375,5471.730018671876,3.0998157304299028,3.7421280453175285
CZE,2,217308.63095295033,34.3355,678657.4898206965,130.0998375,895966.1207736469,164.4353375,5448.744378158051,3.123012127243272,3.7890765388591983
