,technology,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
261,HP_transport,9,inf,inf,inf,inf,inf,inf
262,HP_transport,10,inf,inf,inf,inf,inf,inf
263,HP_transport,11,inf,inf,inf,inf,inf,inf
264,HP_transport,12,inf,inf,inf,inf,inf,inf
265,HP_transport,13,inf,inf,inf,inf,inf,inf
266,Iron_transport,0,inf,inf,inf,inf,inf,inf
267,Iron_transport,1,inf,inf,inf,inf,inf,inf
268,Iron_transport,2,inf,inf,inf,inf,inf,inf
269,Iron_transport,3,inf,inf,inf,inf,inf,inf
270,Iron_transport,4,inf,inf,inf,inf,inf,inf
271,Iron_transport,5,inf,inf,inf,inf,inf,inf
272,Iron_transport,6,inf,inf,inf,inf,inf,inf
273,Iron_transport,7,inf,inf,inf,inf,inf,inf
274,Iron_transport,8,inf,inf,inf,inf,inf,inf
275,Iron_transport,9,inf,inf,inf,inf,inf,inf
276,Iron_transport,10,inf,inf,inf,inf,inf,inf
277,Iron_transport,11,inf,inf,inf,inf,inf,inf
278,Iron_transport,12,inf,inf,inf,inf,inf,inf
279,Iron_transport,13,inf,inf,inf,inf,inf,inf
280,Nickel_transport,0,inf,inf,inf,inf,inf,inf
281,Nickel_transport,1,inf,inf,inf,inf,inf,inf
282,Nickel_transport,2,inf,inf,inf,inf,inf,inf
283,Nickel_transport,3,inf,inf,inf,inf,inf,inf
284,Nickel_transport,4,inf,inf,inf,inf,inf,inf
285,Nickel_transport,5,inf,inf,inf,inf,inf,inf
286,Nickel_transport,6,inf,inf,inf,inf,inf,inf
287,Nickel_transport,7,inf,inf,inf,inf,inf,inf
288,Nickel_transport,8,inf,inf,inf,inf,inf,inf
289,Nickel_transport,9,inf,inf,inf,inf,inf,inf
290,Nickel_transport,10,inf,inf,inf,inf,inf,inf
291,Nickel_transport,11,inf,inf,inf,inf,inf,inf
292,Nickel_transport,12,inf,inf,inf,inf,inf,inf
293,Nickel_transport,13,inf,inf,inf,inf,inf,inf
294,Refrigerant_transport,0,inf,inf,inf,inf,inf,inf
295,Refrigerant_transport,1,inf,inf,inf,inf,inf,inf
296,Refrigerant_transport,2,inf,inf,inf,inf,inf,inf
297,Refrigerant_transport,3,inf,inf,inf,inf,inf,inf
298,Refrigerant_transport,4,inf,inf,inf,inf,inf,inf
299,Refrigerant_transport,5,inf,inf,inf,inf,inf,inf
300,Refrigerant_transport,6,inf,inf,inf,inf,inf,inf
301,Refrigerant_transport,7,inf,inf,inf,inf,inf,inf
302,Refrigerant_transport,8,inf,inf,inf,inf,inf,inf
303,Refrigerant_transport,9,inf,inf,inf,inf,inf,inf
304,Refrigerant_transport,10,inf,inf,inf,inf,inf,inf
305,Refrigerant_transport,11,inf,inf,inf,inf,inf,inf
306,Refrigerant_transport,12,inf,inf,inf,inf,inf,inf
307,Refrigerant_transport,13,inf,inf,inf,inf,inf,inf
308,Steel_transport,0,inf,inf,inf,inf,inf,inf
309,Steel_transport,1,inf,inf,inf,inf,inf,inf
310,Steel_transport,2,inf,inf,inf,inf,inf,inf
311,Steel_transport,3,inf,inf,inf,inf,inf,inf
312,Steel_transport,4,inf,inf,inf,inf,inf,inf
313,Steel_transport,5,inf,inf,inf,inf,inf,inf
314,Steel_transport,6,inf,inf,inf,inf,inf,inf
315,Steel_transport,7,inf,inf,inf,inf,inf,inf
316,Steel_transport,8,inf,inf,inf,inf,inf,inf
317,Steel_transport,9,inf,inf,inf,inf,inf,inf
318,Steel_transport,10,inf,inf,inf,inf,inf,inf
319,Steel_transport,11,inf,inf,inf,inf,inf,inf
320,Steel_transport,12,inf,inf,inf,inf,inf,inf
321,Steel_transport,13,inf,inf,inf,inf,inf,inf
322,Aluminium_storage,0,inf,inf,inf,inf,inf,inf
323,Aluminium_storage,1,inf,inf,inf,inf,inf,inf
324,Aluminium_storage,2,inf,inf,inf,inf,inf,inf
325,Aluminium_storage,3,inf,inf,inf,inf,inf,inf
326,Aluminium_storage,4,inf,inf,inf,inf,inf,inf
327,Aluminium_storage,5,inf,inf,inf,inf,inf,inf
328,Aluminium_storage,6,inf,inf,inf,inf,inf,inf
329,Aluminium_storage,7,inf,inf,inf,inf,inf,inf
330,Aluminium_storage,8,inf,inf,inf,inf,inf,inf
331,Aluminium_storage,9,inf,inf,inf,inf,inf,inf
332,Aluminium_storage,10,inf,inf,inf,inf,inf,inf
333,Aluminium_storage,11,inf,inf,inf,inf,inf,inf
334,Aluminium_storage,12,inf,inf,inf,inf,inf,inf
335,Aluminium_storage,13,inf,inf,inf,inf,inf,inf
336,Bauxite_storage,0,inf,inf,inf,inf,inf,inf
337,Bauxite_storage,1,inf,inf,inf,inf,inf,inf
338,Bauxite_storage,2,inf,inf,inf,inf,inf,inf
339,Bauxite_storage,3,inf,inf,inf,inf,inf,inf
340,Bauxite_storage,4,inf,inf,inf,inf,inf,inf
341,Bauxite_storage,5,inf,inf,inf,inf,inf,inf
342,Bauxite_storage,6,inf,inf,inf,inf,inf,inf
343,Bauxite_storage,7,inf,inf,inf,inf,inf,inf
344,Bauxite_storage,8,inf,inf,inf,inf,inf,inf
345,Bauxite_storage,9,inf,inf,inf,inf,inf,inf
346,Bauxite_storage,10,inf,inf,inf,inf,inf,inf
347,Bauxite_storage,11,inf,inf,inf,inf,inf,inf
348,Bauxite_storage,12,inf,inf,inf,inf,inf,inf
349,Bauxite_storage,13,inf,inf,inf,inf,inf,inf
350,Compressor_storage,0,inf,inf,inf,inf,inf,inf
351,Compressor_storage,1,inf,inf,inf,inf,inf,inf
352,Compressor_storage,2,inf,inf,inf,inf,inf,inf
353,Compressor_storage,3,inf,inf,inf,inf,inf,inf
354,Compressor_storage,4,inf,inf,inf,inf,inf,inf
355,Compressor_storage,5,inf,inf,inf,inf,inf,inf
356,Compressor_storage,6,inf,inf,inf,inf,inf,inf
357,Compressor_storage,7,inf,inf,inf,inf,inf,inf
358,Compressor_storage,8,inf,inf,inf,inf,inf,inf
359,Compressor_storage,9,inf,inf,inf,inf,inf,inf
360,Compressor_storage,10,inf,inf,inf,inf,inf,inf
361,Compressor_storage,11,inf,inf,inf,inf,inf,inf
362,Compressor_storage,12,inf,inf,inf,inf,inf,inf
363,Compressor_storage,13,inf,inf,inf,inf,inf,inf
364,Copper_storage,0,inf,inf,inf,inf,inf,inf
365,Copper_storage,1,inf,inf,inf,inf,inf,inf
366,Copper_storage,2,inf,inf,inf,inf,inf,inf
367,Copper_storage,3,inf,inf,inf,inf,inf,inf
368,Copper_storage,4,inf,inf,inf,inf,inf,inf
369,Copper_storage,5,inf,inf,inf,inf,inf,inf
370,Copper_storage,6,inf,inf,inf,inf,inf,inf
371,Copper_storage,7,inf,inf,inf,inf,inf,inf
372,Copper_storage,8,inf,inf,inf,inf,inf,inf
373,Copper_storage,9,inf,inf,inf,inf,inf,inf
374,Copper_storage,10,inf,inf,inf,inf,inf,inf
375,Copper_storage,11,inf,inf,inf,inf,inf,inf
376,Copper_storage,12,inf,inf,inf,inf,inf,inf
377,Copper_storage,13,inf,inf,inf,inf,inf,inf
378,HEX_storage,0,inf,inf,inf,inf,inf,inf
379,HEX_storage,1,inf,inf,inf,inf,inf,inf
380,HEX_storage,2,inf,inf,inf,inf,inf,inf
381,HEX_storage,3,inf,inf,inf,inf,inf,inf
382,HEX_storage,4,inf,inf,inf,inf,inf,inf
383,HEX_storage,5,inf,inf,inf,inf,inf,inf
384,HEX_storage,6,inf,inf,inf,inf,inf,inf
385,HEX_storage,7,inf,inf,inf,inf,inf,inf
386,HEX_storage,8,inf,inf,inf,inf,inf,inf
387,HEX_storage,9,inf,inf,inf,inf,inf,inf
388,HEX_storage,10,inf,inf,inf,inf,inf,inf
389,HEX_storage,11,inf,inf,inf,inf,inf,inf
390,HEX_storage,12,inf,inf,inf,inf,inf,inf
391,HEX_storage,13,inf,inf,inf,inf,inf,inf
392,HP_storage,0,inf,inf,inf,inf,inf,inf
393,HP_storage,1,inf,inf,inf,inf,inf,inf
394,HP_storage,2,inf,inf,inf,inf,inf,inf
395,HP_storage,3,inf,inf,inf,inf,inf,inf
396,HP_storage,4,inf,inf,inf,inf,inf,inf
397,HP_storage,5,inf,inf,inf,inf,inf,inf
398,HP_storage,6,inf,inf,inf,inf,inf,inf
399,HP_storage,7,inf,inf,inf,inf,inf,inf
400,HP_storage,8,inf,inf,inf,inf,inf,inf
401,HP_storage,9,inf,inf,inf,inf,inf,inf
402,HP_storage,10,inf,inf,inf,inf,inf,inf
403,HP_storage,11,inf,inf,inf,inf,inf,inf
404,HP_storage,12,inf,inf,inf,inf,inf,inf
405,HP_storage,13,inf,inf,inf,inf,inf,inf
406,Iron_storage,0,inf,inf,inf,inf,inf,inf
407,Iron_storage,1,inf,inf,inf,inf,inf,inf
408,Iron_storage,2,inf,inf,inf,inf,inf,inf
409,Iron_storage,3,inf,inf,inf,inf,inf,inf
410,Iron_storage,4,inf,inf,inf,inf,inf,inf
411,Iron_storage,5,inf,inf,inf,inf,inf,inf
412,Iron_storage,6,inf,inf,inf,inf,inf,inf
413,Iron_storage,7,inf,inf,inf,inf,inf,inf
414,Iron_storage,8,inf,inf,inf,inf,inf,inf
415,Iron_storage,9,inf,inf,inf,inf,inf,inf
416,Iron_storage,10,inf,inf,inf,inf,inf,inf
417,Iron_storage,11,inf,inf,inf,inf,inf,inf
418,Iron_storage,12,inf,inf,inf,inf,inf,inf
419,Iron_storage,13,inf,inf,inf,inf,inf,inf
420,Nickel_storage,0,inf,inf,inf,inf,inf,inf
421,Nickel_storage,1,inf,inf,inf,inf,inf,inf
422,Nickel_storage,2,inf,inf,inf,inf,inf,inf
423,Nickel_storage,3,inf,inf,inf,inf,inf,inf
424,Nickel_storage,4,inf,inf,inf,inf,inf,inf
425,Nickel_storage,5,inf,inf,inf,inf,inf,inf
426,Nickel_storage,6,inf,inf,inf,inf,inf,inf
427,Nickel_storage,7,inf,inf,inf,inf,inf,inf
428,Nickel_storage,8,inf,inf,inf,inf,inf,inf
429,Nickel_storage,9,inf,inf,inf,inf,inf,inf
430,Nickel_storage,10,inf,inf,inf,inf,inf,inf
431,Nickel_storage,11,inf,inf,inf,inf,inf,inf
432,Nickel_storage,12,inf,inf,inf,inf,inf,inf
433,Nickel_storage,13,inf,inf,inf,inf,inf,inf
434,Steel_storage,0,inf,inf,inf,inf,inf,inf
435,Steel_storage,1,inf,inf,inf,inf,inf,inf
436,Steel_storage,2,inf,inf,inf,inf,inf,inf
437,Steel_storage,3,inf,inf,inf,inf,inf,inf
438,Steel_storage,4,inf,inf,inf,inf,inf,inf
439,Steel_storage,5,inf,inf,inf,inf,inf,inf
440,Steel_storage,6,inf,inf,inf,inf,inf,inf
441,Steel_storage,7,inf,inf,inf,inf,inf,inf
442,Steel_storage,8,inf,inf,inf,inf,inf,inf
443,Steel_storage,9,inf,inf,inf,inf,inf,inf
444,Steel_storage,10,inf,inf,inf,inf,inf,inf
445,Steel_storage,11,inf,inf,inf,inf,inf,inf
446,Steel_storage,12,inf,inf,inf,inf,inf,inf
447,Steel_storage,13,inf,inf,inf,inf,inf,inf
